X	Y	bedrock	ground_surface	
752691.1092295	3007175.496909	25.396381378174	90.385818481445	
752861.0185562	3007203.325226	25.615430831909	90.624168395996	
753030.92788299	3007231.153544	25.352556228638	90.463684082031	
753200.83720976	3007258.981861	23.461008071899	89.016883850098	
753370.7465365	3007286.810178	15.423541069031	83.336692810059	
753540.6558633	3007314.638496	-3.496603727341	69.68090057373	
753708.0569955	3007342.056012	-18.4507598877	60.564964294434	
753865.4547997	3007367.835151	-22.8942489624	60.0	
754008.5437126	3007391.270731	-23.37655258179	60.0	
754138.624542	3007412.575804	-23.43857002258	59.999771118164	
754256.879842	3007431.944052	-23.84683418274	59.999423980713	
754364.38466	3007449.55155	-24.81965827942	59.990268707275	
754462.116313	3007465.558367	-26.2612285614	59.378196716309	
754550.96327	3007480.110019	-27.97435379028	55.801887512207	
754631.733231	3007493.338793	-29.66041374207	51.083797454834	
754705.160469	3007505.364951	-30.71611022949	50.012210845947	
754771.912503	3007516.297822	-31.05721092224	49.99963760376	
754832.59617	3007526.236796	-31.04009628296	49.998519897461	
754887.76314	3007535.272227	-30.5350151062	49.983894348145	
754937.914931	3007543.486254	-29.83715248108	49.978103637695	
754983.507468	3007550.953553	-28.93003463745	49.97501373291	
755024.955229	3007557.742005	-28.00615882874	49.973201751709	
755064.01344	3007564.13909	-26.87163162231	49.982242584229	
755102.655803	3007570.468065	-25.74918174744	49.991188049316	
755141.298166	3007576.79704	-24.41390419006	49.994476318359	
755179.940529	3007583.126016	-23.00555992126	49.997711181641	
755218.582891	3007589.454991	-21.56065177917	49.999942779541	
755257.225254	3007595.783966	-19.96712875366	49.999969482422	
755296.283465	3007602.18105	-18.35645675659	49.999992370605	
755334.988638	3007608.520313	-16.72668457031	50.001739501953	
755372.924927	3007614.733645	-15.11270904541	50.00464630127	
755410.861215	3007620.946977	-13.50492477417	50.014205932617	
755448.797503	3007627.160309	-11.97233009338	50.127471923828	
755486.733792	3007633.373641	-10.43811893463	50.237644195557	
755524.67008	3007639.586973	-8.982901573181	50.359634399414	
755570.187839	3007647.042024	-7.341121196747	50.497638702393	
755623.287067	3007655.738793	-5.520352363586	50.550651550293	
755671.547414	3007663.643034	-4.022526741028	50.504543304443	
755717.139951	3007671.110332	-2.671375513077	50.973175048828	
755767.291742	3007679.32436	-1.322472810745	53.546825408936	
755822.458712	3007688.359791	0.1107302680612	56.588989257813	
755883.14238	3007698.298764	1.6349472999573	59.463035583496	
755949.894413	3007709.231636	3.3683233261108	61.126678466797	
756023.321651	3007721.257794	5.4060163497925	63.429260253906	
756104.091612	3007734.486568	7.9041752815247	69.426063537598	
756192.938569	3007749.038219	10.966351509094	69.93302154541	
756290.670222	3007765.045036	14.433971405029	69.966674804688	
756398.17504	3007782.652534	17.510738372803	70.003356933594	
756516.43034	3007802.020783	19.723466873169	70.977813720703	
756646.511169	3007823.325856	20.865245819092	79.241149902344	
756789.600082	3007846.761436	21.251335144043	81.844291687012	
756945.577713	3007872.307973	22.607402801514	90.656913757324	
757107.630305	3007898.849488	32.175609588623	102.28858184814	
757269.682897	3007925.391003	50.924785614014	112.50022125244	
757431.735488	3007951.932518	60.786521911621	119.01321411133	
757593.78808	3007978.474033	62.88260269165	112.71004486084	
757755.840672	3008005.015548	62.645408630371	107.99423980713	
757917.893263	3008031.557063	60.788265228271	100.99510192871	
758079.945855	3008058.098578	57.877704620361	100.28466796875	
752714.199026	3007034.519223	25.769746780396	90.685188293457	
752884.1083528	3007062.34754	26.046684265137	90.995597839355	
753054.01767957	3007090.175857	26.088726043701	91.045600891113	
753223.9270063	3007118.004174	25.280986785889	90.434501647949	
753393.8363331	3007145.832492	19.631103515625	86.24422454834	
753563.7456599	3007173.660809	0.8416594266891	73.030693054199	
753731.1467921	3007201.078326	-18.04517745972	60.523242950439	
753888.5445963	3007226.857464	-22.74329948425	59.993366241455	
754031.6335092	3007250.293044	-22.96417427063	59.962158203125	
754161.714339	3007271.598117	-22.67451286316	59.929428100586	
754279.969639	3007290.966365	-22.64816665649	59.801906585693	
754387.474457	3007308.573864	-23.91589736938	59.839485168457	
754485.20611	3007324.58068	-25.96509552002	59.081035614014	
754574.053067	3007339.132332	-28.10548400879	54.221164703369	
754654.823028	3007352.361106	-29.89853286743	50.779655456543	
754728.250265	3007364.387264	-30.9958896637	50.009540557861	
754795.002299	3007375.320135	-31.48348999023	49.997867584229	
754855.685966	3007385.259109	-31.36521339417	49.996982574463	
754910.852936	3007394.29454	-30.86332321167	49.974090576172	
754961.004728	3007402.508568	-30.12940788269	49.814289093018	
755006.597265	3007409.975866	-29.22539520264	49.2555809021	
755048.045026	3007416.764319	-28.22805786133	49.021289825439	
755087.103237	3007423.161403	-27.14052200317	48.98254776001	
755125.745599	3007429.490378	-25.93731307983	49.123363494873	
755164.387962	3007435.819354	-24.61611557007	49.436237335205	
755203.030325	3007442.148329	-23.20216751099	49.849182128906	
755241.672688	3007448.477304	-21.68321037292	49.892562866211	
755280.315051	3007454.80628	-20.05849647522	49.961345672607	
755319.373261	3007461.203364	-18.3966999054	49.999477386475	
755358.078435	3007467.542626	-16.71693229675	50.002208709717	
755396.014723	3007473.755958	-15.04397010803	50.006641387939	
755433.951012	3007479.969291	-13.42090606689	50.020790100098	
755471.8873	3007486.182623	-11.82220172882	50.04759979248	
755509.823588	3007492.395955	-10.25177574158	50.127311706543	
755547.759877	3007498.609287	-8.803490638733	50.368232727051	
755593.277635	3007506.064337	-7.12683057785	50.61828994751	
755646.376864	3007514.761106	-5.360819816589	50.444869995117	
755694.63721	3007522.665347	-3.877707958221	50.14542388916	
755740.229748	3007530.132645	-2.591819763184	50.295108795166	
755790.381539	3007538.346673	-1.281712055206	50.87818145752	
755845.548509	3007547.382104	0.0829360038042	54.237754821777	
755906.232176	3007557.321078	1.5206372737885	58.83776473999	
755972.98421	3007568.253949	3.1916165351868	60.102523803711	
756046.411447	3007580.280107	5.2114772796631	60.83736038208	
756127.181408	3007593.508881	7.7131810188293	62.14294052124	
756216.028365	3007608.060533	10.828639030457	66.209014892578	
756313.760018	3007624.067349	14.430191040039	69.724212646484	
756421.264836	3007641.674848	17.956249237061	70.01490020752	
756539.520136	3007661.043096	20.925523757935	73.086326599121	
756669.600966	3007682.348169	22.22864151001	79.420509338379	
756812.689879	3007705.783749	21.877847671509	83.05152130127	
756968.66751	3007731.330287	22.701265335083	87.403411865234	
757130.720102	3007757.871802	32.699096679688	99.629890441895	
757292.772693	3007784.413317	52.64147567749	107.17031097412	
757454.825285	3007810.954832	62.076480865479	110.47513580322	
757616.877877	3007837.496347	63.942031860352	110.27589416504	
757778.930468	3007864.037861	63.401470184326	109.65397644043	
757940.98306	3007890.579376	60.698543548584	106.48903656006	
758103.035652	3007917.120891	56.538066864014	101.58919525146	
752737.2888226	3006893.541536	25.851989746094	90.721183776855	
752907.1981494	3006921.369853	26.188077926636	93.413139343262	
753077.10747615	3006949.19817	26.301153182983	93.315765380859	
753247.0168029	3006977.026488	25.826324462891	90.820419311523	
753416.9261297	3007004.854805	21.744358062744	87.815864562988	
753586.8354565	3007032.683122	4.6044383049011	75.571334838867	
753754.2365887	3007060.100639	-17.62654495239	60.620616912842	
753911.6343929	3007085.879777	-22.56150436401	58.567272186279	
754054.7233057	3007109.315358	-22.83013153076	56.20825958252	
754184.804136	3007130.620431	-22.22284698486	56.128494262695	
754303.059436	3007149.988679	-21.84918212891	56.403717041016	
754410.564254	3007167.596177	-23.42066764832	57.012283325195	
754508.295906	3007183.602994	-25.88842964172	56.6259765625	
754597.142864	3007198.154645	-28.28198623657	53.241924285889	
754677.912825	3007211.383419	-30.14141082764	51.004619598389	
754751.340062	3007223.409578	-31.33636665344	50.122291564941	
754818.092096	3007234.342449	-31.82594299316	50.028926849365	
754878.775763	3007244.281423	-31.58492469788	50.001346588135	
754933.942733	3007253.316853	-31.16405487061	49.996711730957	
754984.094524	3007261.530881	-30.28076934814	49.969127655029	
755029.687061	3007268.998179	-29.43783569336	49.945175170898	
755071.134823	3007275.786632	-28.32939338684	49.778812408447	
755110.193033	3007282.183716	-27.27981948853	49.59455871582	
755148.835396	3007288.512692	-26.04116630554	49.534240722656	
755187.477759	3007294.841667	-24.67611503601	49.556789398193	
